T03,Population growth and indicators of fertility and mortality,,,,,
145,Western Asia,2025,"Under five mortality rate for both sexes (per 1,000 live births)",19.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
145,Western Asia,2025,Life expectancy at birth for both sexes (years),75.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2025,Life expectancy at birth for males (years),73.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
145,Western Asia,2025,Life expectancy at birth for females (years),78.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
150,Europe,2010,Population annual rate of increase (percent),0.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
150,Europe,2010,Total fertility rate (children per women),1.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
150,Europe,2010,"Under five mortality rate for both sexes (per 1,000 live births)",7.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
150,Europe,2010,"Maternal mortality ratio (deaths per 100,000 population)",10,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
150,Europe,2010,Life expectancy at birth for both sexes (years),76.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
150,Europe,2010,Life expectancy at birth for males (years),72.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
150,Europe,2010,Life expectancy at birth for females (years),80.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
150,Europe,2015,Population annual rate of increase (percent),0.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
150,Europe,2015,Total fertility rate (children per women),1.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
150,Europe,2015,"Under five mortality rate for both sexes (per 1,000 live births)",5.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
150,Europe,2015,"Maternal mortality ratio (deaths per 100,000 population)",8,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
150,Europe,2015,Life expectancy at birth for both sexes (years),77.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
150,Europe,2015,Life expectancy at birth for males (years),74.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
150,Europe,2015,Life expectancy at birth for females (years),81.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
150,Europe,2020,Population annual rate of increase (percent),-0.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
150,Europe,2020,Total fertility rate (children per women),1.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
150,Europe,2020,"Under five mortality rate for both sexes (per 1,000 live births)",4.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
150,Europe,2020,"Maternal mortality ratio (deaths per 100,000 population)",8,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
150,Europe,2020,Life expectancy at birth for both sexes (years),77.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
150,Europe,2020,Life expectancy at birth for males (years),74.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
150,Europe,2020,Life expectancy at birth for females (years),80.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
